date,name,mobility
2020-02-26,Penrith (C),1.3703703703703702
2020-02-26,Randwick (C),1.35
2020-02-26,Ryde (C),1.4864864864864864
2020-02-26,Strathfield (A),1.3421052631578947
2020-02-26,Sydney (C),1.4090909090909092
2020-02-26,The Hills Shire (A),1.4444444444444444
2020-02-26,Waverley (A),1.4102564102564101
2020-02-26,Willoughby (C),1.45
2020-02-26,Woollahra (A),1.8333333333333335
2020-02-26,average,1.3805527560704647
2020-02-26,highSE,1.4598249724823777
2020-02-26,lowSE,1.330422461515042
2020-02-26,midSE,1.4077449212580073
2020-02-27,Bayside (A),1.4444444444444444
2020-02-27,Blacktown (C),1.4666666666666668
2020-02-27,Camden (A),1.3225806451612903
2020-02-27,Canada Bay (A),1.4146341463414633
2020-02-27,Canterbury-Bankstown (A),1.3870967741935485
2020-02-27,Central Coast (C) (NSW),1.25
2020-02-27,Cumberland (A),1.3870967741935485
2020-02-27,Fairfield (C),1.3333333333333333
2020-02-27,Georges River (A),1.4705882352941178
2020-02-27,Hornsby (A),1.4615384615384617
2020-02-27,Inner West (A),1.4222222222222223
2020-02-27,Ku-ring-gai (A),1.4285714285714286
2020-02-27,Liverpool (C),1.3333333333333333
2020-02-27,North Sydney (A),1.3958333333333333
2020-02-27,Northern Beaches (A),1.4210526315789473
2020-02-27,Parramatta (C),1.5142857142857142
2020-02-27,Penrith (C),1.2666666666666666
2020-02-27,Randwick (C),1.380952380952381
2020-02-27,Ryde (C),1.4102564102564101
2020-02-27,Strathfield (A),1.4210526315789473
2020-02-27,Sydney (C),1.3829787234042552
2020-02-27,The Hills Shire (A),1.4102564102564101
2020-02-27,Waverley (A),1.4545454545454546
2020-02-27,Willoughby (C),1.4878048780487805
2020-02-27,Woollahra (A),2.0
2020-02-27,average,1.4036269546183275
2020-02-27,highSE,1.4659853257176694
2020-02-27,lowSE,1.3620946099355762
2020-02-27,midSE,1.4186220467204165
2020-02-28,Bayside (A),1.3783783783783785
2020-02-28,Blacktown (C),1.4333333333333333
2020-02-28,Camden (A),1.2666666666666666
2020-02-28,Canada Bay (A),1.4615384615384617
2020-02-28,Canterbury-Bankstown (A),1.328358208955224
2020-02-28,Central Coast (C) (NSW),1.24
2020-02-28,Cumberland (A),1.3333333333333333
2020-02-28,Fairfield (C),1.2666666666666666
2020-02-28,Georges River (A),1.4
2020-02-28,Hawkesbury (C),1.3076923076923077
2020-02-28,Hornsby (A),1.4736842105263157
2020-02-28,Inner West (A),1.4883720930232558
2020-02-28,Ku-ring-gai (A),1.5
2020-02-28,Liverpool (C),1.3
2020-02-28,North Sydney (A),1.5609756097560976
2020-02-28,Northern Beaches (A),1.368421052631579
2020-02-28,Parramatta (C),1.4444444444444444
2020-02-28,Penrith (C),1.3703703703703702
2020-02-28,Randwick (C),1.4615384615384617
2020-02-28,Ryde (C),1.4615384615384617
2020-02-28,Strathfield (A),1.4102564102564101
2020-02-28,Sydney (C),1.4666666666666668
2020-02-28,The Hills Shire (A),1.4444444444444444
2020-02-28,Waverley (A),1.5454545454545454
2020-02-28,Willoughby (C),1.4285714285714286
2020-02-28,Woollahra (A),2.0
2020-02-28,average,1.3972388021767796
2020-02-28,highSE,1.4825303007978854
2020-02-28,lowSE,1.3331857427142628
2020-02-28,midSE,1.4389722065473443
2020-02-29,Bayside (A),1.1071428571428572
2020-02-29,Blacktown (C),1.1739130434782608
2020-02-29,Camden (A),1.2222222222222223
2020-02-29,Canterbury-Bankstown (A),1.183673469387755
2020-02-29,Central Coast (C) (NSW),1.2222222222222223
2020-02-29,Cumberland (A),1.1666666666666667
2020-02-29,Fairfield (C),1.0869565217391304
2020-02-29,Georges River (A),1.1739130434782608
2020-02-29,Hornsby (A),1.0769230769230769
2020-02-29,Inner West (A),1.125
2020-02-29,Liverpool (C),1.1818181818181819
2020-02-29,Northern Beaches (A),1.121212121212121
2020-02-29,Parramatta (C),1.1481481481481481
2020-02-29,Penrith (C),1.1
2020-02-29,Randwick (C),1.2222222222222223
2020-02-29,Ryde (C),1.1785714285714286
2020-02-29,Strathfield (A),1.0625
2020-02-29,Sydney (C),1.1388888888888888
2020-02-29,The Hills Shire (A),1.16
2020-02-29,average,1.1555308563068127
2020-02-29,highSE,1.1212345403500257
2020-02-29,lowSE,1.1675217234128068
2020-02-29,midSE,1.1585940620648905
2020-03-01,Bayside (A),1.103448275862069
2020-03-01,Blacktown (C),1.0
2020-03-01,Canterbury-Bankstown (A),1.074074074074074
2020-03-01,Central Coast (C) (NSW),1.0952380952380953
2020-03-01,Cumberland (A),1.074074074074074
2020-03-01,Fairfield (C),1.04
2020-03-01,Georges River (A),1.1333333333333333
2020-03-01,Hornsby (A),1.0714285714285714
2020-03-01,Inner West (A),1.0666666666666667
2020-03-01,Liverpool (C),1.0769230769230769
2020-03-01,Northern Beaches (A),1.1481481481481481
2020-03-01,Parramatta (C),1.0
2020-03-01,Penrith (C),1.0909090909090908
2020-03-01,Randwick (C),1.2857142857142856
2020-03-01,Ryde (C),1.1578947368421053
2020-03-01,Sydney (C),1.0625
2020-03-01,The Hills Shire (A),1.0689655172413792
2020-03-01,average,1.0820714091747057
2020-03-01,highSE,1.1057192532558002
2020-03-01,lowSE,1.0676912002138386
2020-03-01,midSE,1.095151290925358
2020-03-02,Bayside (A),1.4848484848484849
2020-03-02,Blacktown (C),1.5
2020-03-02,Camden (A),1.4074074074074074
2020-03-02,Canada Bay (A),1.5142857142857142
2020-03-02,Canterbury-Bankstown (A),1.4150943396226414
2020-03-02,Central Coast (C) (NSW),1.2608695652173914
2020-03-02,Cumberland (A),1.3703703703703702
2020-03-02,Fairfield (C),1.32
2020-03-02,Georges River (A),1.5333333333333332
2020-03-02,Hawkesbury (C),1.391304347826087
2020-03-02,Hornsby (A),1.5142857142857142
2020-03-02,Inner West (A),1.5405405405405406
2020-03-02,Ku-ring-gai (A),1.5526315789473686
2020-03-02,Liverpool (C),1.3461538461538463
2020-03-02,North Sydney (A),1.564102564102564
2020-03-02,Northern Beaches (A),1.4705882352941178
2020-03-02,Parramatta (C),1.6
2020-03-02,Penrith (C),1.3333333333333333
2020-03-02,Randwick (C),1.4444444444444444
2020-03-02,Ryde (C),1.4324324324324325
2020-03-02,Strathfield (A),1.4285714285714286
2020-03-02,Sydney (C),1.5128205128205128
2020-03-02,The Hills Shire (A),1.5151515151515151
2020-03-02,Waverley (A),1.5454545454545454
2020-03-02,Willoughby (C),1.4864864864864864
2020-03-02,Woollahra (A),2.0
2020-03-02,average,1.4546392858661208
2020-03-02,highSE,1.5396171784795807
2020-03-02,lowSE,1.3839640022099537
2020-03-02,midSE,1.5009307239722418
2020-03-03,Bayside (A),1.3333333333333333
2020-03-03,Blacktown (C),1.4
2020-03-03,Camden (A),1.2666666666666666
2020-03-03,Canada Bay (A),1.4210526315789473
2020-03-03,Canterbury-Bankstown (A),1.3442622950819672
2020-03-03,Central Coast (C) (NSW),1.1666666666666667
2020-03-03,Cumberland (A),1.3333333333333333
2020-03-03,Fairfield (C),1.2857142857142856
2020-03-03,Georges River (A),1.4117647058823528
2020-03-03,Hawkesbury (C),1.2692307692307692
2020-03-03,Hornsby (A),1.4864864864864864
2020-03-03,Inner West (A),1.4390243902439024
2020-03-03,Ku-ring-gai (A),1.4390243902439024
2020-03-03,Liverpool (C),1.3214285714285714
2020-03-03,North Sydney (A),1.4545454545454546
2020-03-03,Northern Beaches (A),1.4444444444444444
2020-03-03,Parramatta (C),1.4705882352941178
2020-03-03,Penrith (C),1.2857142857142856
2020-03-03,Randwick (C),1.368421052631579
2020-03-03,Ryde (C),1.4102564102564101
2020-03-03,Strathfield (A),1.368421052631579
2020-03-03,Sydney (C),1.3636363636363638
2020-03-03,The Hills Shire (A),1.4324324324324325
2020-03-03,Waverley (A),1.4324324324324325
2020-03-03,Willoughby (C),1.380952380952381
2020-03-03,Woollahra (A),1.7777777777777777
2020-03-03,average,1.370175544452088
2020-03-03,highSE,1.4622928745334272
2020-03-03,lowSE,1.3150790360127265
2020-03-03,midSE,1.3940450990649134
2020-03-04,Bayside (A),1.2777777777777777
2020-03-04,Blacktown (C),1.3571428571428572
2020-03-04,Camden (A),1.1666666666666667
2020-03-04,Canada Bay (A),1.368421052631579
2020-03-04,Canterbury-Bankstown (A),1.1967213114754098
2020-03-04,Central Coast (C) (NSW),1.125
2020-03-04,Cumberland (A),1.2758620689655173
2020-03-04,Fairfield (C),1.1428571428571428
2020-03-04,Georges River (A),1.2777777777777777
2020-03-04,Hawkesbury (C),1.103448275862069
2020-03-04,Hornsby (A),1.4210526315789473
2020-03-04,Inner West (A),1.380952380952381
2020-03-04,Ku-ring-gai (A),1.4
2020-03-04,Liverpool (C),1.2142857142857142
2020-03-04,North Sydney (A),1.3181818181818181
2020-03-04,Northern Beaches (A),1.2702702702702702
2020-03-04,Parramatta (C),1.4
2020-03-04,Penrith (C),1.2222222222222223
2020-03-04,Randwick (C),1.25
2020-03-04,Ryde (C),1.3783783783783785
2020-03-04,Strathfield (A),1.236842105263158
2020-03-04,Sydney (C),1.3181818181818181
2020-03-04,The Hills Shire (A),1.3333333333333333
2020-03-04,Waverley (A),1.2564102564102564
2020-03-04,Willoughby (C),1.3
2020-03-04,Woollahra (A),1.6111111111111112
2020-03-04,average,1.2806832039445464
2020-03-04,highSE,1.3446399373311866
2020-03-04,lowSE,1.2267828996236205
2020-03-04,midSE,1.320215903293367
2020-03-05,Bayside (A),1.2222222222222223
2020-03-05,Blacktown (C),1.3333333333333333
2020-03-05,Camden (A),1.1935483870967742
2020-03-05,Canada Bay (A),1.2682926829268293
2020-03-05,Canterbury-Bankstown (A),1.1935483870967742
2020-03-05,Central Coast (C) (NSW),1.0833333333333333
2020-03-05,Cumberland (A),1.1935483870967742
2020-03-05,Fairfield (C),1.1333333333333333
2020-03-05,Georges River (A),1.2941176470588236
2020-03-05,Hawkesbury (C),1.5555555555555556
2020-03-05,Hornsby (A),1.358974358974359
2020-03-05,Inner West (A),1.2888888888888888
2020-03-05,Ku-ring-gai (A),1.3333333333333333
2020-03-05,Liverpool (C),1.1333333333333333
2020-03-05,North Sydney (A),1.2708333333333333
2020-03-05,Northern Beaches (A),1.2105263157894737
2020-03-05,Parramatta (C),1.342857142857143
2020-03-05,Penrith (C),1.2
2020-03-05,Randwick (C),1.2380952380952381
2020-03-05,Ryde (C),1.3076923076923077
2020-03-05,Strathfield (A),1.263157894736842
2020-03-05,Sydney (C),1.2127659574468086
2020-03-05,The Hills Shire (A),1.2564102564102564
2020-03-05,Waverley (A),1.2727272727272727
2020-03-05,Willoughby (C),1.3414634146341464
2020-03-05,Woollahra (A),1.4444444444444444
2020-03-05,average,1.242270666827778
2020-03-05,highSE,1.2890570629009726
2020-03-05,lowSE,1.1957570891697824
2020-03-05,midSE,1.2854463970919527
2020-03-06,Bayside (A),1.3243243243243243
2020-03-06,Blacktown (C),1.3666666666666667
2020-03-06,Camden (A),1.2666666666666666
2020-03-06,Canada Bay (A),1.358974358974359
2020-03-06,Canterbury-Bankstown (A),1.2388059701492538
2020-03-06,Central Coast (C) (NSW),1.16
2020-03-06,Cumberland (A),1.2121212121212122
2020-03-06,Fairfield (C),1.2
2020-03-06,Georges River (A),1.342857142857143
2020-03-06,Hawkesbury (C),1.1538461538461537
2020-03-06,Hornsby (A),1.368421052631579
2020-03-06,Inner West (A),1.441860465116279
2020-03-06,Ku-ring-gai (A),1.4
2020-03-06,Liverpool (C),1.2333333333333334
2020-03-06,North Sydney (A),1.4634146341463414
2020-03-06,Northern Beaches (A),1.3157894736842106
2020-03-06,Parramatta (C),1.3333333333333333
2020-03-06,Penrith (C),1.2962962962962963
2020-03-06,Randwick (C),1.358974358974359
2020-03-06,Ryde (C),1.3076923076923077
2020-03-06,Strathfield (A),1.3076923076923077
2020-03-06,Sydney (C),1.3777777777777778
2020-03-06,The Hills Shire (A),1.3333333333333333
2020-03-06,Waverley (A),1.4242424242424243
2020-03-06,Willoughby (C),1.3333333333333333
2020-03-06,Woollahra (A),2.0
2020-03-06,average,1.3139131388601548
2020-03-06,highSE,1.3974355646820849
2020-03-06,lowSE,1.2542232527800325
2020-03-06,midSE,1.3457690340222492
2020-03-07,Bayside (A),0.9642857142857143
2020-03-07,Blacktown (C),1.0
2020-03-07,Camden (A),1.1111111111111112
2020-03-07,Canterbury-Bankstown (A),1.0204081632653061
2020-03-07,Central Coast (C) (NSW),1.1111111111111112
2020-03-07,Cumberland (A),1.0
2020-03-07,Fairfield (C),1.0
2020-03-07,Georges River (A),1.0
2020-03-07,Hornsby (A),0.9230769230769231
2020-03-07,Inner West (A),1.0
2020-03-07,Liverpool (C),1.0
2020-03-07,Northern Beaches (A),1.0606060606060606
2020-03-07,Parramatta (C),0.9259259259259259
2020-03-07,Penrith (C),1.0
2020-03-07,Randwick (C),0.9259259259259259
2020-03-07,Ryde (C),0.8928571428571429
2020-03-07,Strathfield (A),0.8125
2020-03-07,Sydney (C),0.9722222222222222
2020-03-07,The Hills Shire (A),1.0
2020-03-07,average,0.9989654857551927
2020-03-07,highSE,1.0081461585136682
2020-03-07,lowSE,1.0215187394994047
2020-03-07,midSE,0.9564366356284947
2020-03-08,Bayside (A),0.896551724137931
2020-03-08,Blacktown (C),0.8518518518518519
2020-03-08,Canterbury-Bankstown (A),0.9259259259259259
2020-03-08,Central Coast (C) (NSW),0.9047619047619048
2020-03-08,Cumberland (A),0.8518518518518519
2020-03-08,Fairfield (C),0.88
2020-03-08,Georges River (A),0.8666666666666667
